id,sub_domain,name
407,kirzhach,Киржач
408,kirillov,Кириллов
409,kirishi,Кириши
410,kirov-40,Киров
411,kirov-43,Киров
412,kirovgrad,Кировград
413,kirovo-chepetsk,Кирово-Чепецк
414,kirovsk-47,Кировск
415,kirovsk-51,Кировск
416,kirs,Кирс
417,kirsanov,Кирсанов
418,kiselevsk,Киселёвск
419,kislovodsk,Кисловодск
420,klin,Клин
421,klintsy,Клинцы
422,knyaginino,Княгинино
423,kovdor,Ковдор
424,kovrov,Ковров
425,kovylkino,Ковылкино
426,kogalym,Когалым
427,kodinsk,Кодинск
428,kozelsk,Козельск
429,kozlovka,Козловка
430,kozmodemyansk,Козьмодемьянск
431,kola,Кола
432,kologriv,Кологрив
433,kolomna,Коломна
434,kolpashevo,Колпашево
435,kolchugino,Кольчугино
436,kommunar,Коммунар
437,komsomolsk,Комсомольск
438,komsomolsk-na-amur,Комсомольск-на-Амуре
439,konakovo,Конаково
440,kondopoga,Кондопога
441,kondrovo,Кондрово
442,konstantinovsk,Константиновск
443,kopeysk,Копейск
444,korablino,Кораблино
445,korenovsk,Кореновск
446,korkino,Коркино
447,korolev,Королёв
448,korocha,Короча
449,korsakov,Корсаков
450,koryazhma,Коряжма
451,kosteryevo,Костерёво
452,kostomuksha,Костомукша
453,kostroma,Кострома
454,kotelniki,Котельники
455,kotelnikovo,Котельниково
456,kotelnich,Котельнич
457,kotlas,Котлас
458,kotovo,Котово
459,kotovsk,Котовск
460,kohma,Кохма
461,krasavino,Красавино
462,krasnoarmeysk-90,Красноармейск
463,krasnoarmeysk-64,Красноармейск
464,krasnovishersk,Красновишерск
465,krasnogorsk,Красногорск
466,krasnodar,Краснодар
467,krasnozavodsk,Краснозаводск
468,krasnoznamensk-39,Краснознаменск
469,krasnoznamensk-90,Краснознаменск
470,krasnokamensk,Краснокаменск
471,krasnokamsk,Краснокамск
472,krasnoperekopsk,Красноперекопск
473,krasnoslobodsk-34,Краснослободск
474,krasnoslobodsk-13,Краснослободск
475,krasnoturyinsk,Краснотурьинск
476,krasnouralsk,Красноуральск
477,krasnoufimsk,Красноуфимск
478,krasnoyarsk,Красноярск
479,krasniy-kut,Красный Кут
480,krasniy-sulin,Красный Сулин
481,krasniy-holm,Красный Холм
482,kremenki,Кремёнки
483,kropotkin,Кропоткин
484,krymsk,Крымск
485,kstovo,Кстово
486,kubinka,Кубинка
487,kuvandyk,Кувандык
488,kuvshinovo,Кувшиново
489,kudymkar,Кудымкар
490,kuznetsk,Кузнецк
491,kuybishev,Куйбышев
492,kulebaki,Кулебаки
493,kumertau,Кумертау
494,kungur,Кунгур
495,kupino,Купино
496,kurgan,Курган
497,kurganinsk,Курганинск
498,kurilsk,Курильск
499,kurlovo,Курлово
500,kurovskoye,Куровское
501,kursk,Курск
502,kurtamysh,Куртамыш
503,kurchatov,Курчатов
504,kusa,Куса
505,kushva,Кушва
506,kyzyl,Кызыл
507,kyshtym,Кыштым
508,kyahta,Кяхта
509,labinsk,Лабинск
510,labytnangi,Лабытнанги
511,lagan,Лагань
512,ladushkin,Ладушкин
513,laishevo,Лаишево
514,lakinsk,Лакинск
515,langepas,Лангепас
516,lahdenpohya,Лахденпохья
517,lebedyan,Лебедянь
518,leninogorsk,Лениногорск
519,leninsk,Ленинск
520,leninsk-kuznetskiy,Ленинск-Кузнецкий
521,lensk,Ленск
522,lermontov,Лермонтов
523,lesnoy,Лесной
524,lesozavodsk,Лесозаводск
525,lesosibirsk,Лесосибирск
526,livny,Ливны
527,likino-dulevo,Ликино-Дулёво
528,lipetsk,Липецк
529,lipki,Липки
530,liski,Лиски
531,likhoslavl,Лихославль
532,lobnya,Лобня
533,lodeynoye-pole,Лодейное Поле
534,losino-petrovskiy,Лосино-Петровский
535,luga,Луга
536,luza,Луза
537,lukoyanov,Лукоянов
538,lukhovitsy,Луховицы
539,lyskovo,Лысково
540,lysva,Лысьва
541,lytkarino,Лыткарино
542,lgov,Льгов
543,lyuban,Любань
544,lubertsy,Люберцы
545,lyubim,Любим
546,lyudinovo,Людиново
547,lyantor,Лянтор
548,magadan,Магадан
549,magas,Магас
550,magnitogorsk,Магнитогорск
551,maykop,Майкоп
552,mayskiy,Майский
553,makarov,Макаров
554,makaryev,Макарьев
555,makushino,Макушино
556,malaya-vishera,Малая Вишера
557,malgobek,Малгобек
558,malmyzh,Малмыж
559,maloarkhangelsk,Малоархангельск
560,maloyaroslavets,Малоярославец
561,mamadysh,Мамадыш
562,mamonovo,Мамоново
563,manturovo,Мантурово
564,mariinsk,Мариинск
565,mariinskiy-pasad,Мариинский Посад
566,marks,Маркс
567,makhachkala,Махачкала
568,mglin,Мглин
569,megion,Мегион
570,medvezhyegorsk,Медвежьегорск
571,mednogorsk,Медногорск
572,medyn,Медынь
573,mezhgorye,Межгорье
574,mezhdurechensk,Междуреченск
575,mezen,Мезень
576,melenki,Меленки
577,meleuz,Мелеуз
578,mendeleevsk,Менделеевск
579,menzelinsk,Мензелинск
580,meshyovsk,Мещовск
581,miass,Миасс
582,mikun,Микунь
583,millerovo,Миллерово
584,mineralniye-vody,Минеральные Воды
585,minusinsk,Минусинск
586,minyar,Миньяр
587,mirniy-14,Мирный
588,mirniy-29,Мирный
589,mikhaylov,Михайлов
590,mikhaylovka,Михайловка
591,mikhaylovsk-66,Михайловск
592,mikhaylovsk-26,Михайловск
593,michurinsk,Мичуринск
594,mogocha,Могоча
595,mozhaysk,Можайск
596,mozhga,Можга
597,mozdok,Моздок
598,monchegorsk,Мончегорск
599,morozovsk,Морозовск
600,morshansk,Моршанск
601,mosalsk,Мосальск
602,muravlenko,Муравленко
603,murashi,Мураши
604,murmansk,Мурманск
605,murom,Муром
606,mcensk,Мценск
607,myski,Мыски
608,mytishy,Мытищи
609,myshkin,Мышкин
610,naberezhniye-chelny,Набережные Челны
611,navashino,Навашино
612,navoloki,Наволоки
613,nadym,Надым
614,nazarovo,Назарово
615,nazran,Назрань
616,nazyvaevsk,Называевск
617,nalchik,Нальчик
618,narimanov,Нариманов
619,naro-fominsk,Наро-Фоминск
620,nartkala,Нарткала
621,naryan-mar,Нарьян-Мар
622,nakhodka,Находка
623,nevel,Невель
